"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Durham Smythe","MIA","TE48","0.0","0.0","0.0","21.4","215.8","1.2","0.0","49.9"
"Cade Otton","TB","TE49","0.0","0.0","0.0","19.7","206.3","1.7","0.5","49.7"
"Josh Reynolds","DET","WR116","0.0","0.0","0.0","16.7","230.4","1.6","0.1","48.9"
"Tylan Wallace","BAL","WR117","0.0","0.0","0.0","17.4","224.9","1.5","0.1","48.5"
"Rashard Higgins","CAR","WR118","0.3","2.7","0.0","17.4","233.8","1.2","0.1","48.4"
"Taysom Hill","NO","QB1","0.0","0.0","0.0","17.3","189.0","2.3","1.0","48.2"
"Greg Dulcich","DEN","TE50","0.0","0.0","0.0","18.6","201.6","1.5","0.1","47.6"
"Josiah Deguara","GB","TE51","0.0","0.0","0.0","18.4","194.6","1.5","0.0","47.1"
"Jordan Akins","NYG","TE52","0.0","0.0","0.0","20.8","202.4","1.1","0.4","47.1"
"Chris Evans","CIN","RB75","27.3","107.4","0.6","16.2","117.6","0.8","0.1","46.9"
"Anthony Schwartz","CLE","WR119","1.1","6.8","0.0","16.1","212.3","1.4","0.2","46.1"
"Keke Coutee","IND","WR120","0.0","0.0","0.0","17.8","204.1","1.3","0.0","45.8"
"Ameer Abdullah","LV","RB76","13.0","102.1","0.5","16.2","128.4","0.6","0.0","45.8"
"Andrew Beck","DEN","TE53","4.7","18.9","0.2","16.5","166.9","1.5","0.0","45.3"
"Jaylon Moore","BAL","WR121","0.0","0.0","0.0","16.8","202.8","1.3","0.0","44.9"
"Justin Jackson","DET","RB77","29.8","176.5","1.3","9.8","77.9","0.4","0.2","44.8"
"Brandon Bolden","LV","RB78","24.7","106.2","0.6","15.6","139.5","0.4","1.0","43.8"
"Laquon Treadwell","JAC","WR122","0.0","0.0","0.0","15.4","206.3","1.3","0.0","43.5"
"D'Ernest Johnson","CLE","RB79","31.3","188.8","1.3","8.6","69.7","0.2","0.1","43.4"
"John Bates","WAS","TE54","0.0","0.0","0.0","16.8","187.5","1.2","0.0","42.9"
"Ian Thomas","CAR","TE55","0.0","0.0","0.0","18.6","182.8","1.0","0.1","42.8"
"Ryan Nall","DAL","RB80","109.0","176.6","1.1","8.6","64.6","0.7","0.5","42.5"
"Calvin Austin III","PIT","WR123","0.0","0.0","0.0","16.3","195.4","1.1","0.1","42.2"
"Ke'Shawn Vaughn","TB","RB81","47.2","194.3","2.0","6.8","45.2","0.1","0.7","41.9"
"Jeff Wilson Jr.","SF","RB82","37.1","143.8","1.3","9.7","73.1","0.5","0.3","41.6"
"Marcedes Lewis","GB","TE56","0.0","0.0","0.0","16.9","172.6","1.3","0.4","41.0"
"Trey McBride","ARI","TE57","0.0","0.0","0.0","16.2","171.2","1.4","0.5","40.6"
"Quintez Cephus","DET","WR124","0.0","0.0","0.0","13.2","178.5","1.6","0.0","40.6"
"Will Dissly","SEA","TE58","0.0","0.0","0.0","17.0","176.3","0.9","0.1","40.1"
"Giovani Bernard","TB","RB83","16.1","102.1","0.6","12.9","97.8","0.6","0.2","40.0"
"Cam Sims","WAS","WR125","0.0","0.0","0.0","13.9","193.7","1.1","0.0","39.9"
"Craig Reynolds","DET","RB84","36.6","162.7","0.6","10.4","79.3","0.4","0.5","39.8"
"Ben Skowronek","LAR","WR126","0.0","0.0","0.0","14.1","173.6","1.4","0.0","39.7"
